group,regime,bias,policy,chosen_shift,reported_intensity,output_reference_safe,abstention,reference_capacity_selected_partition,reference_best_capacity,partition_selection_loss,operating_point_loss,safe_operating_point_loss,reference_nonmonotone
h105-o900-d30-heterogeneous-fast,prefill,0.9,selected_partition_boundary_reference,0,19.9106127459,True,False,37.3158259837,41.5842617652,0.10264546249735418,0.5211983596505181,0.5211983596505181,False
h106-o1100-d120-heterogeneous-slow,decode,1.0,evaluator_only,1,0.0083541903,True,False,0.0083541903,0.0083541903,0.0,0.0,0.0,False
h106-o1100-d120-heterogeneous-slow,decode,1.0,compute_margin_25pct,,,,True,,0.0083541903,,,1.0,False
h106-o1100-d120-heterogeneous-slow,decode,1.0,capacity_derating_20pct,1,0.004,True,False,0.0083541903,0.0083541903,0.0,0.5211983619765042,0.5211983619765042,False
h106-o1100-d120-heterogeneous-slow,decode,1.0,four_scenarios,,,,True,,0.0083541903,,,1.0,False
h106-o1100-d120-heterogeneous-slow,decode,1.0,selected_point_reference,1,0.0083541903,True,False,0.0083541903,0.0083541903,0.0,0.0,0.0,False
h106-o1100-d120-heterogeneous-slow,decode,1.0,selected_partition_boundary_reference,1,0.0083541903,True,False,0.0083541903,0.0083541903,0.0,0.0,0.0,False
h106-o1100-d120-heterogeneous-slow,decode,0.9,evaluator_only,0,0.0095136569,False,False,,0.0083541903,1.0,-0.13878862682838355,1.0,False
h106-o1100-d120-heterogeneous-slow,decode,0.9,compute_margin_25pct,,,,True,,0.0083541903,,,1.0,False
h106-o1100-d120-heterogeneous-slow,decode,0.9,capacity_derating_20pct,0,0.004,False,False,,0.0083541903,1.0,0.5211983619765042,1.0,False
h106-o1100-d120-heterogeneous-slow,decode,0.9,four_scenarios,,,,True,,0.0083541903,,,1.0,False
h106-o1100-d120-heterogeneous-slow,decode,0.9,selected_point_reference,,,,True,,0.0083541903,,,1.0,False
h106-o1100-d120-heterogeneous-slow,decode,0.9,selected_partition_boundary_reference,,,,True,,0.0083541903,,,1.0,False
h106-o1100-d120-heterogeneous-slow,prefill,1.0,evaluator_only,1,0.2297227616,False,False,4.096,5.5470307203,0.2615869270364387,0.9585863549016769,1.0,True
h106-o1100-d120-heterogeneous-slow,prefill,1.0,compute_margin_25pct,,,,True,,5.5470307203,,,1.0,True
h106-o1100-d120-heterogeneous-slow,prefill,1.0,capacity_derating_20pct,1,0.181019336,False,False,4.096,5.5470307203,0.2615869270364387,0.9673664442964884,1.0,True
h106-o1100-d120-heterogeneous-slow,prefill,1.0,four_scenarios,,,,True,,5.5470307203,,,1.0,True
h106-o1100-d120-heterogeneous-slow,prefill,1.0,selected_point_reference,,,,True,,5.5470307203,,,1.0,True
h106-o1100-d120-heterogeneous-slow,prefill,1.0,selected_partition_boundary_reference,,,,True,,5.5470307203,,,1.0,True
h106-o1100-d120-heterogeneous-slow,prefill,0.9,evaluator_only,0,2.048,False,False,,5.5470307203,1.0,0.6307934635182193,1.0,True
h106-o1100-d120-heterogeneous-slow,prefill,0.9,compute_margin_25pct,,,,True,,5.5470307203,,,1.0,True
h106-o1100-d120-heterogeneous-slow,prefill,0.9,capacity_derating_20pct,0,1.5792238853,False,False,,5.5470307203,1.0,0.715302841298382,1.0,True
h106-o1100-d120-heterogeneous-slow,prefill,0.9,four_scenarios,,,,True,,5.5470307203,,,1.0,True
h106-o1100-d120-heterogeneous-slow,prefill,0.9,selected_point_reference,,,,True,,5.5470307203,,,1.0,True
h106-o1100-d120-heterogeneous-slow,prefill,0.9,selected_partition_boundary_reference,,,,True,,5.5470307203,,,1.0,True
