group,shift,intensity,sla,variant,runtime_s,events
w201-heterogeneous-fast,1,0.016,TTFT5.2_TPOT5,Raw-Remaining,0.0069210000219754875,222
w201-heterogeneous-fast,1,0.016,TTFT5.2_TPOT5,Legacy-Full,0.006583400012459606,222
w201-heterogeneous-fast,1,0.016,TTFT5.2_TPOT10,Legacy-Remaining,0.006919300009030849,222
w201-heterogeneous-fast,1,0.016,TTFT5.2_TPOT10,Raw-Full,0.0067180999903939664,222
w201-heterogeneous-fast,1,0.016,TTFT5.2_TPOT10,Raw-Remaining,0.006642499996814877,222
w201-heterogeneous-fast,1,0.016,TTFT5.2_TPOT10,Legacy-Full,0.006649200047831982,222
w201-heterogeneous-fast,2,0.016,TTFT5.2_TPOT0.3,Raw-Full,0.0016475000302307308,57
w201-heterogeneous-fast,2,0.016,TTFT5.2_TPOT0.3,Raw-Remaining,0.0016755000106059015,57
w201-heterogeneous-fast,2,0.016,TTFT5.2_TPOT0.3,Legacy-Full,0.001597900001797825,56
w201-heterogeneous-fast,2,0.016,TTFT5.2_TPOT0.3,Legacy-Remaining,0.0016676999512128532,56
w201-heterogeneous-fast,2,0.016,TTFT5.2_TPOT1.2,Raw-Full,0.006816300039645284,222
w201-heterogeneous-fast,2,0.016,TTFT5.2_TPOT1.2,Raw-Remaining,0.006651800009422004,222
w201-heterogeneous-fast,2,0.016,TTFT5.2_TPOT1.2,Legacy-Full,0.007024999998975545,222
w201-heterogeneous-fast,2,0.016,TTFT5.2_TPOT1.2,Legacy-Remaining,0.006853199971374124,222
w201-heterogeneous-fast,2,0.016,TTFT5.2_TPOT5,Raw-Full,0.006750400003511459,222
w201-heterogeneous-fast,2,0.016,TTFT5.2_TPOT5,Raw-Remaining,0.00672189996112138,222
w201-heterogeneous-fast,2,0.016,TTFT5.2_TPOT5,Legacy-Full,0.00669840001501143,222
w201-heterogeneous-fast,2,0.016,TTFT5.2_TPOT5,Legacy-Remaining,0.0066139999544247985,222
w201-heterogeneous-fast,2,0.016,TTFT5.2_TPOT10,Raw-Full,0.006475500005763024,222
w201-heterogeneous-fast,2,0.016,TTFT5.2_TPOT10,Raw-Remaining,0.006839999987278134,222
w201-heterogeneous-fast,2,0.016,TTFT5.2_TPOT10,Legacy-Full,0.006693100032862276,222
w201-heterogeneous-fast,2,0.016,TTFT5.2_TPOT10,Legacy-Remaining,0.006843100010883063,222
w201-heterogeneous-fast,-2,0.064,TTFT5.2_TPOT0.3,Raw-Remaining,0.0010059000342153013,33
w201-heterogeneous-fast,-2,0.064,TTFT5.2_TPOT0.3,Legacy-Full,0.0009857999975793064,33
w201-heterogeneous-fast,-2,0.064,TTFT5.2_TPOT0.3,Legacy-Remaining,0.001050200022291392,33
w201-heterogeneous-fast,-2,0.064,TTFT5.2_TPOT0.3,Raw-Full,0.0010079999919980764,33
w201-heterogeneous-fast,-2,0.064,TTFT5.2_TPOT1.2,Raw-Remaining,0.0030301999649964273,91
w201-heterogeneous-fast,-2,0.064,TTFT5.2_TPOT1.2,Legacy-Full,0.0033156999852508307,91
w201-heterogeneous-fast,-2,0.064,TTFT5.2_TPOT1.2,Legacy-Remaining,0.0030812000040896237,91
w201-heterogeneous-fast,-2,0.064,TTFT5.2_TPOT1.2,Raw-Full,0.0032657000119797885,91
w201-heterogeneous-fast,-2,0.064,TTFT5.2_TPOT5,Raw-Remaining,0.009270499984268099,222
w201-heterogeneous-fast,-2,0.064,TTFT5.2_TPOT5,Legacy-Full,0.00940819998504594,222
w201-heterogeneous-fast,-2,0.064,TTFT5.2_TPOT5,Legacy-Remaining,0.009985200013034046,222
w201-heterogeneous-fast,-2,0.064,TTFT5.2_TPOT5,Raw-Full,0.009658800030592829,222
