group,workload,sla,ttft_s,tpot_s,variant,both_safe,both_unsafe,optimistic,conservative,paired_denominator,missing
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Full,13,302,0,0,315,0
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Remaining,13,302,0,0,315,0
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT5.2_TPOT0.3,5.2,0.3,Legacy-Full,11,302,0,2,315,0
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT5.2_TPOT0.3,5.2,0.3,Legacy-Remaining,11,302,0,2,315,0
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT5.2_TPOT0.6,5.2,0.6,Raw-Full,13,302,0,0,315,0
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT5.2_TPOT0.6,5.2,0.6,Raw-Remaining,13,302,0,0,315,0
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT5.2_TPOT0.6,5.2,0.6,Legacy-Full,11,302,0,2,315,0
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT5.2_TPOT0.6,5.2,0.6,Legacy-Remaining,11,302,0,2,315,0
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT5.2_TPOT1.2,5.2,1.2,Raw-Full,13,302,0,0,315,0
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT5.2_TPOT1.2,5.2,1.2,Raw-Remaining,13,302,0,0,315,0
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT5.2_TPOT1.2,5.2,1.2,Legacy-Full,11,302,0,2,315,0
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT5.2_TPOT1.2,5.2,1.2,Legacy-Remaining,11,302,0,2,315,0
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT5.2_TPOT2.4,5.2,2.4,Raw-Full,13,302,0,0,315,0
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT5.2_TPOT2.4,5.2,2.4,Raw-Remaining,13,302,0,0,315,0
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT5.2_TPOT2.4,5.2,2.4,Legacy-Full,11,302,0,2,315,0
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT5.2_TPOT2.4,5.2,2.4,Legacy-Remaining,11,302,0,2,315,0
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT5.2_TPOT5,5.2,5.0,Raw-Full,33,252,23,7,315,0
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT5.2_TPOT5,5.2,5.0,Raw-Remaining,33,252,23,7,315,0
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT5.2_TPOT5,5.2,5.0,Legacy-Full,33,252,23,7,315,0
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT5.2_TPOT5,5.2,5.0,Legacy-Remaining,33,252,23,7,315,0
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT5.2_TPOT10,5.2,10.0,Raw-Full,48,223,8,36,315,0
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT5.2_TPOT10,5.2,10.0,Raw-Remaining,48,223,8,36,315,0
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT5.2_TPOT10,5.2,10.0,Legacy-Full,48,223,8,36,315,0
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT5.2_TPOT10,5.2,10.0,Legacy-Remaining,48,223,8,36,315,0
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,TTFT4.68_TPOT1.2,4.68,1.2,Raw-Full,0,315,0,0,315,0
