case_id,group,workload,kind,regime,sla_label,shift,role,raw_relative_gap,legacy_relative_gap,raw_largest_safe,raw_nearest_unsafe_above,raw_all_unsafe,raw_right_censored,raw_nonmonotone,raw_single_boundary_supported,legacy_largest_safe,legacy_nearest_unsafe_above,legacy_all_unsafe,legacy_right_censored,legacy_nonmonotone,legacy_single_boundary_supported,reference_largest_safe,reference_nearest_unsafe_above,reference_all_unsafe,reference_right_censored,reference_nonmonotone,reference_single_boundary_supported
h105-o900-d30-heterogeneous-fast-decode-shift-2,h105-o900-d30-heterogeneous-fast,h105-o900-d30,heterogeneous,decode,tight-TPOT,-2,primary,0.0,-0.021427933767911335,0.0091103091,0.0093097989,False,False,False,True,0.008915094,0.0091103091,False,False,False,True,0.0091103091,0.0093097989,False,False,False,True
h105-o900-d30-heterogeneous-fast-decode-shift0,h105-o900-d30-heterogeneous-fast,h105-o900-d30,heterogeneous,decode,tight-TPOT,0,primary,0.0,-0.02142793253821148,0.0085371232,0.0087240619,False,False,False,True,0.0083541903,0.0085371232,False,False,False,True,0.0085371232,0.0087240619,False,False,False,True
h105-o900-d30-heterogeneous-fast-decode-shift1,h105-o900-d30-heterogeneous-fast,h105-o900-d30,heterogeneous,decode,tight-TPOT,1,primary,0.0,-0.02142794137691597,0.0083541903,0.0085371232,False,False,False,True,0.0081751772,0.0083541903,False,False,False,True,0.0083541903,0.0085371232,False,False,False,True
h105-o900-d30-heterogeneous-fast-decode-shift2,h105-o900-d30-heterogeneous-fast,h105-o900-d30,heterogeneous,decode,tight-TPOT,2,primary,0.0,-0.5,0.008,0.0081751772,False,False,False,True,0.004,0.008,False,False,False,True,0.008,0.0081751772,False,False,False,True
h105-o900-d30-heterogeneous-fast-prefill-shift-1,h105-o900-d30-heterogeneous-fast,h105-o900-d30,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),-1,primary,-0.8193523991269224,-0.8193523991269224,4.9776531865,5.0866495983,False,False,False,True,4.9776531865,5.0866495983,False,False,False,True,27.554493735,28.1578585804,False,False,False,True
h105-o900-d30-heterogeneous-fast-prefill-shift-2,h105-o900-d30-heterogeneous-fast,h105-o900-d30,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),-2,primary,-0.7851725877356139,-0.7851725877356139,4.2773454128,4.3710070812,False,False,False,True,4.2773454128,4.3710070812,False,False,False,True,19.9106127459,20.346598393,False,False,False,True
h105-o900-d30-heterogeneous-fast-prefill-shift0,h105-o900-d30-heterogeneous-fast,h105-o900-d30,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),0,primary,-0.8636865334155565,-0.8666074499148351,5.0866495983,5.1980327207,False,False,False,True,4.9776531865,5.0866495983,False,False,False,True,37.3158259837,38.1329361724,False,False,False,True
h105-o900-d30-heterogeneous-fast-prefill-shift1,h105-o900-d30-heterogeneous-fast,h105-o900-d30,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),1,primary,-0.8776784922377343,-0.8776784922377343,5.0866495983,5.1980327207,False,False,False,True,5.0866495983,5.1980327207,False,False,False,True,41.5842617652,42.4948385268,False,False,False,True
h105-o900-d30-heterogeneous-fast-prefill-shift2,h105-o900-d30-heterogeneous-fast,h105-o900-d30,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),2,primary,-0.8413686303496181,-0.8413686303496181,5.0866495983,5.1980327207,False,False,False,True,5.0866495983,5.1980327207,False,False,False,True,32.0658493305,32.768,False,False,False,True
h106-o1100-d120-a100-slow-decode-shift0,h106-o1100-d120-a100-slow,h106-o1100-d120,a100,decode,tight-TPOT,0,primary,,,,,True,False,False,False,,,True,False,False,False,,,True,False,False,False
