grid_version,workload,SLA,scheduled,reference_safe_E_unsupported,reference_safe_E_hard_resource,conservative_latency,optimistic_latency,optimistic_reference_hard_resource,unverified_approval,E_profile_domain_unknown,E_service_cost_unknown,E_hard_resource_rejection,E_latency_rejection,R_unknown
G1,w203,S3,155,0,0,0,0,0,0,0,0,0,155,0
G1,w203,S4,155,0,0,59,0,0,0,0,0,0,96,0
G1,w203,S5,155,0,0,65,0,0,0,0,0,0,65,0
G1,w203,S6,155,0,0,65,0,0,0,0,0,0,65,0
G1,w204,S1,155,0,0,0,0,0,0,45,0,0,110,0
G1,w204,S2,155,0,0,0,0,0,0,45,0,0,110,0
G1,w204,S3,155,0,0,0,0,0,0,45,0,0,110,0
G1,w204,S4,155,0,0,5,0,0,0,45,0,0,52,0
G1,w204,S5,155,0,0,0,1,0,0,45,0,0,35,0
G1,w204,S6,155,0,0,4,0,0,0,45,0,0,20,0
