grid_version,workload,scope,SLA,metric,error_kind,median_signed,median_absolute,p90_absolute,p95_absolute,mean_signed,MAE,min,max,na_reason,valid_workloads,valid_candidates,valid_points,valid_requests,inapplicable_or_small_reference_requests,weighting
G1,h103,service_relevant,S3,TPOT,seconds,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h103,full_grid,S4,TTFT,SLA_budget_normalized,0.02157005778639724,0.02157005778639724,2.0234936457919797,2.487372197475993,0.41885545377685707,0.42750326323391047,-0.017472052391288646,3.772817369507225,,1,5,170,2550,0,equal workload/candidate/point/request
G1,h103,full_grid,S4,TPOT,SLA_budget_normalized,-0.0002361088119172683,0.003059892666356867,0.3015980853619651,0.4369216980017838,-0.07061458193922648,0.08083768486399334,-0.8515587175189598,0.18472305088292273,,1,5,170,2550,0,equal workload/candidate/point/request
G1,h103,service_relevant,S4,TTFT,SLA_budget_normalized,-0.009700137206285339,0.010595383118394844,0.026688863342324492,0.03158689460884053,-0.0025997000489702445,0.012187906893240515,-0.017472052391288646,0.03850631442641136,,1,5,95,1425,0,equal workload/candidate/point/request
G1,h103,service_relevant,S4,TTFT,seconds,-0.05820082323771203,0.06357229871036907,0.16013318005394694,0.18952136765304317,-0.015598200293821467,0.07312744135944309,-0.10483231434773188,0.23103788655846813,,1,5,95,1425,0,equal workload/candidate/point/request
G1,h103,service_relevant,S4,TPOT,SLA_budget_normalized,-0.00023610880987456895,0.00023610881193136812,0.0037628393253710257,0.015320289882119309,0.002098364279066346,0.0024599067850307353,-0.00023610892479641876,0.15754706040588462,,1,5,95,1425,0,equal workload/candidate/point/request
G1,h103,service_relevant,S4,TPOT,seconds,-5.902720246864224e-05,5.902720298284203e-05,0.0009407098313427564,0.0038300724705298272,0.0005245910697665865,0.0006149766962576838,-5.902723119910469e-05,0.039386765101471155,,1,5,95,1425,0,equal workload/candidate/point/request
G1,h103,full_grid,S5,TTFT,SLA_budget_normalized,0.02157005778639724,0.02157005778639724,2.0234936457919797,2.487372197475993,0.41885545377685707,0.42750326323391047,-0.017472052391288646,3.772817369507225,,1,5,170,2550,0,equal workload/candidate/point/request
G1,h103,full_grid,S5,TPOT,SLA_budget_normalized,-0.00019675734326439026,0.0025499105552973895,0.2513317378016376,0.3641014150014865,-0.0588454849493554,0.06736473738666111,-0.7096322645991332,0.15393587573576895,,1,5,170,2550,0,equal workload/candidate/point/request
G1,h103,service_relevant,S5,TTFT,SLA_budget_normalized,-0.009700137189383895,0.011136465820072772,0.02893459021106537,0.035185994739123316,0.0002879905339924701,0.013783590570282372,-0.017472052391288646,0.041423493234053886,,1,5,106,1590,0,equal workload/candidate/point/request
G1,h103,service_relevant,S5,TTFT,seconds,-0.05820082313630337,0.06681879492043663,0.17360754126639222,0.2111159684347399,0.001727943203954821,0.08270154342169424,-0.10483231434773188,0.2485409594043233,,1,5,106,1590,0,equal workload/candidate/point/request
G1,h103,service_relevant,S5,TPOT,SLA_budget_normalized,-0.0001967573410414462,0.00019675734440801249,0.015583253318659323,0.03708043647092772,0.004314741615913347,0.004759647751156194,-0.09123628973529734,0.13128921700490387,,1,5,106,1590,0,equal workload/candidate/point/request
G1,h103,service_relevant,S5,TPOT,seconds,-5.902720231243386e-05,5.902720332240374e-05,0.0046749759955977965,0.011124130941278315,0.0012944224847740039,0.001427894325346858,-0.0273708869205892,0.039386765101471155,,1,5,106,1590,0,equal workload/candidate/point/request
G1,h103,full_grid,S6,TTFT,SLA_budget_normalized,0.02157005778639724,0.02157005778639724,2.0234936457919797,2.487372197475993,0.41885545377685707,0.42750326323391047,-0.017472052391288646,3.772817369507225,,1,5,170,2550,0,equal workload/candidate/point/request
