case_id,group,workload,duration_s,seed,kind,shift,regime,link,role,status,absolute_gap,relative_gap,precise_sampled_gap,largest_relative_bracket,evaluator_largest_safe,evaluator_nearest_unsafe_above,evaluator_all_unsafe,evaluator_right_censored,evaluator_nonmonotone,evaluator_single_boundary_supported,reference_largest_safe,reference_nearest_unsafe_above,reference_all_unsafe,reference_right_censored,reference_nonmonotone,reference_single_boundary_supported
h104-o700-d120-heterogeneous-fast-prefill-shift-1,h104-o700-d120-heterogeneous-fast,h104-o700-d120,120,104,heterogeneous,-1,prefill,fast,primary,ok,-4.8574256384000005,-0.803002394360606,True,0.021897148675259936,1.1916542554,1.2177480858,False,False,False,True,6.0490798938,6.1815374955,False,False,False,True
h104-o700-d120-heterogeneous-fast-prefill-shift-2,h104-o700-d120-heterogeneous-fast,h104-o700-d120,120,104,heterogeneous,-2,prefill,fast,primary,ok,-4.262049728399999,-0.7851725877337055,True,0.021897148659348886,1.166119562,1.1916542554,False,False,False,True,5.4281692904,5.5470307203,False,False,False,True
h104-o700-d120-heterogeneous-fast-prefill-shift0,h104-o700-d120-heterogeneous-fast,h104-o700-d120,120,104,heterogeneous,0,prefill,fast,primary,ok,-5.549360183199999,-0.823223304703752,True,0.021897148675259936,1.1916542554,1.2177480858,False,False,False,True,6.7410144386,6.8886234338,False,False,False,True
h104-o700-d120-heterogeneous-fast-prefill-shift1,h104-o700-d120-heterogeneous-fast,h104-o700-d120,120,104,heterogeneous,1,prefill,fast,primary,ok,-5.549360183199999,-0.823223304703752,True,0.021897148675259936,1.1916542554,1.2177480858,False,False,False,True,6.7410144386,6.8886234338,False,False,False,True
h104-o700-d120-heterogeneous-fast-prefill-shift2,h104-o700-d120-heterogeneous-fast,h104-o700-d120,120,104,heterogeneous,2,prefill,fast,primary,ok,-4.831331808,-0.7986887085012498,True,0.021897148688582835,1.2177480858,1.2444132967,False,False,False,True,6.0490798938,6.1815374955,False,False,False,True
h105-o900-d30-a100-fast-decode-shift0,h105-o900-d30-a100-fast,h105-o900-d30,30,105,a100,0,decode,fast,primary,ok,0.0,0.0,True,0.02189714797603015,0.0170742464,0.0174481237,False,False,False,True,0.0170742464,0.0174481237,False,False,False,True
h105-o900-d30-a100-fast-relaxed_decode-shift0,h105-o900-d30-a100-fast,h105-o900-d30,30,105,a100,0,relaxed_decode,fast,primary,ok,-31.8717213816,-0.9518059117027338,True,0.02189714865461112,1.6138043855,1.6491421,False,False,False,True,33.4855257671,34.2187633026,False,False,False,True
h105-o900-d30-heterogeneous-fast-decode-shift-1,h105-o900-d30-heterogeneous-fast,h105-o900-d30,30,105,heterogeneous,-1,decode,fast,primary,ok,0.0,0.0,True,0.021897150913154473,0.0087240619,0.008915094,False,False,False,True,0.0087240619,0.008915094,False,False,False,True
h105-o900-d30-heterogeneous-fast-decode-shift-2,h105-o900-d30-heterogeneous-fast,h105-o900-d30,30,105,heterogeneous,-2,decode,fast,primary,ok,0.0,0.0,True,0.02189714946115262,0.0091103091,0.0093097989,False,False,False,True,0.0091103091,0.0093097989,False,False,False,True
h105-o900-d30-heterogeneous-fast-decode-shift0,h105-o900-d30-heterogeneous-fast,h105-o900-d30,30,105,heterogeneous,0,decode,fast,primary,ok,0.0,0.0,True,0.021897153832804106,0.0085371232,0.0087240619,False,False,False,True,0.0085371232,0.0087240619,False,False,False,True
