group,shift,intensity,origin,status,sla,semantics,point_record,evaluator_safe,reference_safe,evaluator_first_violation_count,reference_violation_type,reference_violating_requests,reference_request_count,reference_violating_request_fraction,reference_max_ttft_excess_s,reference_max_tpot_excess_s
h101-o60-d30-heterogeneous-fast,0,7.1936088489,stage4_new,ok,TTFT5.2_TPOT0.3,raw,2a3c50d4f9fbc06da2161083234fa6c0202a42b8df6f2584cafa22877c2ee6ce,False,False,1,TPOT only,16,16,1.0,0.0,3.323340171152192
h101-o60-d30-heterogeneous-fast,-2,0.022627417,stage4_new,ok,TTFT5.2_TPOT0.3,raw,2a85ded344d805c9cf5381abad6d63c1c941cfb832a2aa3d36fe46ed420b42e7,False,False,1,TPOT only,3,16,0.1875,0.0,2.1609644306771134
h101-o60-d30-heterogeneous-fast,-2,0.0106018931,stage4_new,ok,TTFT5.2_TPOT0.3,raw,2b9783b27143b24f5948d514fa343d7b724fcd051df0036cc9cd0f9893e3819f,False,False,1,TPOT only,1,16,0.0625,0.0,2.008079289604739
h101-o60-d30-heterogeneous-fast,0,0.0269086853,stage4_new,ok,TTFT5.2_TPOT0.3,raw,2bb56cdaf91075b992d3552bab4feb5bb2bd9b4e1165adaf4691a2c815fa28da,False,False,1,TPOT only,3,16,0.1875,0.0,2.004388186063311
h101-o60-d30-heterogeneous-fast,2,3.1584477704,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,2c1cbcee20e5ec2278dd401b1ea4429bf5497bb847c4bff6b465363b484314a3,False,False,1,TPOT only,16,16,1.0,0.0,2.5775477251558687
h101-o60-d30-heterogeneous-fast,0,1.024,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,2c479230be95ffa95de272879b1e58ba8ab0a557fd2223d2988a5852dc7c4f6c,False,False,1,TPOT only,16,16,1.0,0.0,4.309911270403239
h101-o60-d30-heterogeneous-fast,-1,2.8963093757,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,2c650ff98054f469dc47fb94648e74098cf4a132673a0c3a5f5577c07c91ce1b,False,False,1,TPOT only,16,16,1.0,0.0,2.8570390952649496
h101-o60-d30-heterogeneous-fast,1,0.0123376866,stage4_new,ok,TTFT5.2_TPOT0.3,raw,2c8ffff05a6b91810777c02d7ec7da8954ed6d0454e6630e3094d6a44bb4c6ee,False,False,1,TPOT only,2,16,0.125,0.0,2.0107716616654034
h101-o60-d30-heterogeneous-fast,0,0.0146720647,stage4_new,ok,TTFT5.2_TPOT0.3,raw,2c9c89ca14c39f7343c1e2bd10a007d65c89ec11620b767a5350ae7170769cfb,False,False,1,TPOT only,2,16,0.125,0.0,2.0655964377381952
h101-o60-d30-heterogeneous-fast,-1,5.7926187515,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,2f2362094e384145487a2696e87c73b8fd888620cb42e29ae8cb357b9c530744,False,False,1,TPOT only,16,16,1.0,0.0,3.829871672420845
h101-o60-d30-heterogeneous-fast,-1,0.0110712791,stage4_new,ok,TTFT5.2_TPOT0.3,raw,2f53391ce904109f651e776dfb19e8ae73d0933383c0d61cd4b30a6d0c74877a,False,False,1,TPOT only,1,16,0.0625,0.0,2.164209421326932
h101-o60-d30-heterogeneous-fast,0,6.8886234338,stage4_new,ok,TTFT5.2_TPOT0.3,raw,2f57caba8e5d97176741af6bc768c6d269eafcd965179e10e3e27f43cf378211,False,False,1,TPOT only,16,16,1.0,0.0,3.4125818659139746
h101-o60-d30-heterogeneous-fast,1,0.0207494329,stage4_new,ok,TTFT5.2_TPOT0.3,raw,2f5ab4cca111c321fa2516c6177f3b1b1e0a98fff0d2ce624038cd8642a17471,False,False,1,TPOT only,3,16,0.1875,0.0,2.1211441010642194
h101-o60-d30-heterogeneous-fast,2,4.2773454128,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,2fa3468c063625ba15e8f50bc4b63c02a8a4473a46e6f979e0c2955e3a1eccbb,False,False,1,TPOT only,16,16,1.0,0.0,3.999572297830647
h101-o60-d30-heterogeneous-fast,1,0.256,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,2fa44ff4899e2dafc8bbb3aabf9d0fba2df9a7dbbb8bb495f84cca553ca20d9c,False,False,1,TPOT only,16,16,1.0,0.0,4.217071657603002
h101-o60-d30-heterogeneous-fast,2,8.933439346,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,3016c201459958a6e06bb5221a41e4c4dfce2770b926a6c3bbd68c67e01d9741,False,False,1,TPOT only,16,16,1.0,0.0,4.521611635902888
h101-o60-d30-heterogeneous-fast,1,3.0907687477,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,30ede37ca822530ad364e168c47d5fc82be44e397114466508a3a85e36a56b2e,False,False,1,TPOT only,16,16,1.0,0.0,2.6543738112394517
h101-o60-d30-heterogeneous-fast,-2,7.512097122,stage4_new,ok,TTFT5.2_TPOT0.3,raw,30f8deb1cdf1e4e425cc704872ffd3f5a42d623b69a78127e927e91a63f5c87e,False,False,1,TPOT only,16,16,1.0,0.0,3.4407671629871937
h101-o60-d30-heterogeneous-fast,0,13.4820288771,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,329cd65bb4f5154ff01489e1c9bee9fb607bd54c8734f8ceaf0e5fe7faa17cc3,False,False,1,both,16,16,1.0,0.023422123067057043,4.622506432204814
h101-o60-d30-heterogeneous-fast,2,13.7772468675,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,33c0f5834192c5add2ca97baa753779ab9cf78655ae170a01059f2e08fadc97c,False,False,1,both,16,16,1.0,0.48076770550933645,4.4915494255632105
h101-o60-d30-heterogeneous-fast,-1,0.0207494329,stage4_new,ok,TTFT5.2_TPOT0.3,raw,33efe2f7cd846bc0886fdc73501efe0ed9d3b321dc65cd8eb6032788e2ee34f2,False,False,1,TPOT only,3,16,0.1875,0.0,2.0603911730160736
h101-o60-d30-heterogeneous-fast,-1,4.096,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,3493a78d78596d5beacb7e7595f100b2f309dafe369da37ae1b75e26f98cfe65,False,False,1,TPOT only,16,16,1.0,0.0,4.147915908261567
h101-o60-d30-heterogeneous-fast,1,7.1936088489,stage4_new,ok,TTFT5.2_TPOT0.3,raw,3523da2139f89af93190377772302102892160b759648b4427776e0af0c0d44a,False,False,1,TPOT only,16,16,1.0,0.0,3.304316171152192
h101-o60-d30-heterogeneous-fast,-1,0.004,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,35859f164d58f8f8df665533feeb8bff98e6248126c10bfb9a5aa5517d680046,True,True,0,,0,16,0.0,0.0,0.0
h101-o60-d30-heterogeneous-fast,0,0.0118146092,stage4_new,ok,TTFT5.2_TPOT0.3,raw,35c25641009104c36f50b519b3af19900912c0ee330189dcb25a6f0d9659e4ea,False,False,1,TPOT only,2,16,0.125,0.0,1.9640152896041216
h101-o60-d30-heterogeneous-fast,1,0.064,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,37fe746ad4690840566abf2a6795bb83786680476e90ceab2ee3a600906a8e09,False,False,1,TPOT only,11,16,0.6875,0.0,4.193592555593243
h101-o60-d30-heterogeneous-fast,1,0.0097219789,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,397047b1c1c7445a8222d4b9543ac712828934ef93a69a4d775a334bbf8c6706,False,False,1,TPOT only,1,16,0.0625,0.0,1.9419832895956277
h101-o60-d30-heterogeneous-fast,0,9.7419846861,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,3a2bd5466e9b0e3c032a7c03772eb191a8e6d63b0baaf2842966031841455b7b,False,False,1,TPOT only,16,16,1.0,0.0,4.191540429137869
h101-o60-d30-heterogeneous-fast,-1,9.7419846861,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,3a9b493c8796775184e708aa852d81babf37839f1ff45d94ecf3242df1f1eafd,False,False,1,TPOT only,16,16,1.0,0.0,4.403552434001633
h101-o60-d30-heterogeneous-fast,-1,0.001,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,3b44f6b1d9faa76d0a49c30aec2362ab7a3c9593795fc0833f56056b88f53cc7,True,True,0,,0,16,0.0,0.0,0.0
h101-o60-d30-heterogeneous-fast,2,0.0093097989,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,3bfdf2ca754751c4bdd18345f41f8c7d1c5f599be8161d896131fa5077bb39d5,False,False,1,TPOT only,1,16,0.0625,0.0,2.01170137531024
h101-o60-d30-heterogeneous-fast,1,0.0095136569,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,3c30990972fe2034842ac781a836775f6af9491310d056f85a8db25fc177dd6f,False,False,1,TPOT only,1,16,0.0625,0.0,2.0930742262574586
h101-o60-d30-heterogeneous-fast,1,1.024,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,3c5fe3e1e631fc987540c215135f51dee7d018b75c44162340b7428825619ac2,False,False,1,TPOT only,16,16,1.0,0.0,4.2696472704032455
h101-o60-d30-heterogeneous-fast,1,4.466719673,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,3cd35ff79516d541e66a0323c8e4c98f8f91332e1149a524ec5c8b73cd15274a,False,False,1,TPOT only,16,16,1.0,0.0,4.24449160489589
h101-o60-d30-heterogeneous-fast,1,5.7926187515,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,3d09f867ce582064478715eff1562dda783617c79e845c836f7a8b1d1d8f4be6,False,False,1,TPOT only,16,16,1.0,0.0,3.7918236721312475
h101-o60-d30-heterogeneous-fast,1,0.0146720647,stage4_new,ok,TTFT5.2_TPOT0.3,raw,3d6f18fa38d8113726dc51b21c7afbe1b43b622b044128593d9c231d1a65be73,False,False,1,TPOT only,2,16,0.125,0.0,2.025874389690971
h101-o60-d30-heterogeneous-fast,1,13.7772468675,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,3e3915ef5b6fe6ae6eca6fc4b4c7af461a4f07e8b4286d57d041c42321d8e296,False,False,1,both,16,16,1.0,0.2868769599093408,4.313603006363213
h101-o60-d30-heterogeneous-fast,0,4.1856907209,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,3e6225c1c0e3439409e826503ccd16e14d569cd51172c715e80a99737741e383,False,False,1,TPOT only,16,16,1.0,0.0,4.137480289412655
h101-o60-d30-heterogeneous-fast,0,0.0103747164,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,3f68eb597af434d8f3c2653d2d41b92ba141114a1422bbf767c367e411111193,False,False,1,TPOT only,1,16,0.0625,0.0,2.05404637616296
h101-o60-d30-heterogeneous-fast,0,0.0093097989,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,40e6a1ab998a5bda368c6722d5f5bd078d8587f257d5034b8e403cd6a42f7bd0,True,True,0,,0,16,0.0,0.0,0.0
h101-o60-d30-heterogeneous-fast,-2,13.1931367994,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,40fbc5a35f649f88fe30d7ebaa76c406d7af04b6f3f983bbaa09f591025a76e9,False,False,1,both,16,16,1.0,0.7055007777134623,3.4421753677871996
h101-o60-d30-heterogeneous-fast,-1,0.0101524076,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,414446c659b0cbcc942c7073c4b1471c215e7251ce05f9056252f2d1352a4196,False,False,1,TPOT only,1,16,0.0625,0.0,2.0646844519723846
h101-o60-d30-heterogeneous-fast,-2,0.0095136569,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,43419dccabfbc613471006ed58426f565db36c1132142e36c5fed85fdafe179e,True,True,0,,0,16,0.0,0.0,0.0
h101-o60-d30-heterogeneous-fast,2,0.0106018931,stage4_new,ok,TTFT5.2_TPOT0.3,raw,435ade1f82821f7c73fdb71468f2b78264715e7459a9527c6b5b0f9c526ed92b,False,False,1,TPOT only,2,16,0.125,0.0,1.9530636337825216
h101-o60-d30-heterogeneous-fast,2,8.7420141623,stage4_new,ok,TTFT5.2_TPOT0.3,raw,44a45991e6ba53878811bb20f09a19792ea97630108e66d651159506a44eb7bf,False,False,1,TPOT only,16,16,1.0,0.0,4.534984024719995
h101-o60-d30-heterogeneous-fast,1,8.933439346,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,44afe0e212527426504365884778869fc6f1d9eec0ef9bc1de1a3353ee48379a,False,False,1,TPOT only,16,16,1.0,0.0,4.3926321095028875
h101-o60-d30-heterogeneous-fast,2,2.048,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,45268e47244aa2b1e341afa2b4f1ec27727c65eeb5691ff74f2ebdfa4a4cd234,False,False,1,TPOT only,16,16,1.0,0.0,3.0848827318639493
