group,regime,kind,role,bias,policy,candidate_count,grid_points,chosen_shift,reported_intensity,output_reference_safe,selected_optimistic,validated_usable_intensity,reference_oracle_intensity,normalized_usable_quality,reference_regret,abstention,reference_calls,evaluator_calls,evaluator_runtime_s,replayed_reference_runtime_s,estimated_planning_runtime_s,query_trace,grid_optimistic,grid_conservative,grid_denominator
h101-o60-d30-anchor-slow,prefill,heterogeneous,link_anchor,1.0,four_scenarios,1,27,,,,False,0.0,9.5332340431,0.0,9.5332340431,True,0,108,1.1287482003099285,0.0,1.1287482003099285,[],0,23,27
h101-o60-d30-anchor-slow,prefill,heterogeneous,link_anchor,1.0,selected_point_reference,1,27,0,1.1916542554,True,False,1.1916542554,9.5332340431,0.1250000000013112,8.3415797877,False,1,27,0.3458350998698734,11.33402260002913,11.679857699899003,"[{""shift"":0,""intensity"":1.1916542554,""safe"":true}]",,,
h101-o60-d30-anchor-slow,prefill,heterogeneous,link_anchor,1.0,selected_partition_boundary_reference,1,27,0,4.096,True,False,4.096,9.5332340431,0.42965482453088605,5.4372340431,False,5,27,0.3458350998698734,53.27323729998898,53.61907239985885,"[{""shift"":0,""intensity"":1.1916542554,""safe"":true},{""shift"":0,""intensity"":1.2177480858,""safe"":true},{""shift"":0,""intensity"":1.4481546879,""safe"":true},{""shift"":0,""intensity"":2.048,""safe"":true},{""shift"":0,""intensity"":4.096,""safe"":true}]",,,
h101-o60-d30-anchor-slow,prefill,heterogeneous,link_anchor,0.9,evaluator_only,1,27,0,4.096,True,False,4.096,9.5332340431,0.42965482453088605,5.4372340431,False,0,27,0.6336175000178628,0.0,0.6336175000178628,[],0,4,27
h101-o60-d30-anchor-slow,prefill,heterogeneous,link_anchor,0.9,compute_margin_25pct,1,27,,,,False,0.0,9.5332340431,0.0,9.5332340431,True,0,27,0.16418219998013228,0.0,0.16418219998013228,[],0,23,27
h101-o60-d30-anchor-slow,prefill,heterogeneous,link_anchor,0.9,capacity_derating_20pct,1,27,0,2.048,True,False,2.048,9.5332340431,0.21482741226544302,7.4852340431,False,0,27,0.6336175000178628,0.0,0.6336175000178628,[],0,5,27
h101-o60-d30-anchor-slow,prefill,heterogeneous,link_anchor,0.9,four_scenarios,1,27,,,,False,0.0,9.5332340431,0.0,9.5332340431,True,0,108,1.5951460995711386,0.0,1.5951460995711386,[],0,23,27
h101-o60-d30-anchor-slow,prefill,heterogeneous,link_anchor,0.9,selected_point_reference,1,27,0,4.096,True,False,4.096,9.5332340431,0.42965482453088605,5.4372340431,False,1,27,0.6336175000178628,9.506265199976042,10.139882699993905,"[{""shift"":0,""intensity"":4.096,""safe"":true}]",,,
h101-o60-d30-anchor-slow,prefill,heterogeneous,link_anchor,0.9,selected_partition_boundary_reference,1,27,0,9.5332340431,True,False,9.5332340431,9.5332340431,1.0,0.0,False,5,27,0.6336175000178628,52.34412809996866,52.97774559998652,"[{""shift"":0,""intensity"":4.096,""safe"":true},{""shift"":0,""intensity"":8.192,""safe"":true},{""shift"":0,""intensity"":8.933439346,""safe"":true},{""shift"":0,""intensity"":9.3289564959,""safe"":true},{""shift"":0,""intensity"":9.5332340431,""safe"":true}]",,,
h102-o300-d120-heterogeneous-slow,decode,heterogeneous,primary,1.0,evaluator_only,5,53,-2,0.0083541903,True,False,0.0083541903,0.0083541903,1.0,0.0,False,0,265,5.997087950119749,0.0,5.997087950119749,[],0,0,265
